group;main_unit_off;main_unit_ps;main_unit_fid
group 16;"ВЛ-110 кВ ""Серноводская-2""ПС 220/110/35/10 кВ""Кинельская"" (МЭС).Под откл.попали:С-2-Т ПС 110/35/6 кВ ""Алакаевка"" (СПО) (Ф-1,Ф-5),ПС 35/6 кВ ""Запрудная"",Т-2-Т ПС 35/6 кВ ""Ключи"".";Серноводская-2;
group 16;"ВЛ-110 кВ ""Серноводская-1""ПС 220/110/35/10 кВ""Кинельская"" (МЭС).Под посадку напряжения попали:С-2-Т ПС 110/35/6 кВ ""Алакаевка"" (СПО) (Ф-1,Ф-5),ПС 35/6 кВ ""Запрудная"",Т-2-Т ПС 35/6 кВ ""Ключи"".";Серноводская-1;
group 5;Центральная Оха, скв. 145;;
group 5;"ПС-35/6 кВ ""В.Эхаби"" фид. № 2,4";В.Эхаби;
group 5;Восточное Эхаби, скв. 383;;
group 5;Гиляко-Абунан, скв. 116;;
group 9;Ф.6-10;;10
group 9;ЭЦН;ЭЦН;
group 17;М-е Убеженское скв.17;;
group 17;М-е Восточно-Северское, скв.229;;
group 17;ВЛ-6кВ Хл-22 Ильский ЭСУ.;;
group 17;ВЛ-0,4 кВ ф-7 от ТП-Нс-1-1.;;7
group 22;КТП К-596б;;
group 8;ВЛ-10 кВ ф-1;;1
group 8;"скв.№32,154 ф. ""РПЖ-5""";рпж;5
group 17;ВЛ-0,4 кВ от ТП  Нд-61-4 ф.1, опора №10, скв.132 ШГН.  ;61;
group 5;Эхаби, скв. 237;;
group 5;Центральная Оха, скв. 2227;;
group 4;ВЛ-6кВ ф.274-14;274;14
group 9;Ф.20-7;20;7
group 22;ф.526-14;526;14
group 12;ВЛ-6кВ Ф№14     ПС-35/6кВ К-331 ;;14
group 8;ВЛ-6 фидера № 1;;1
group 8; ПС Проскуринская,  ПС Варшава -3.          ;;
group 14;"ВЛ-6 кВ ""204-06""";204-06;6
group 6;ВЛ-110 Демьянская -Юровская-1         ВЛ-110 Демьянская -Горная-2;;
group 12;Т-2 ПС 35/6кВ Вахтовый Посёлок;35;
group 8;"ПС 110/35/6 ""Гаршинская-1"". ПС 110/6 ""Гаршинская-2"", ""Гаршинская УПСВ"", ""Широкодольская"". ";Гаршинская-1;
group 5;Катангли, ВЛБ-6кВ № 061;;
group 4;ВЛ-6кВ ф.115-14;115;14
group 4;ВЛ-6кВ ф.2ЕК-11;;11
group 16;"ВЛ-6 кВ Ф-7 ПС 35/6 кВ ""Ветлянская""";Ветлянская;7
group 16;"ВЛ-6 кВ Ф-43 ПС 35/6 кВ ""Дмитриевская""";Дмитриевская;43
group 4;ВЛ-6 кВ     ф.1000-06;1000;6
group 8;ВЛ-6 фидера № 402;;402
group 8;ВЛ-10 фидера № 1;;1
group 8;ВЛ-6 фидера № 402;;402
group 8;ВЛ-6 фидера № 506;;506
group 8;ВЛ-6 фидера № 3;;3
group 7;"ПС-110кВ ""Мачтовая"" ";Мачтовая;
group 8;ВЛ-6 фидера № 506;;506
group 14;"ПС-35/6 ""104"" 2-СШ-6";104;
group 7;"ВЛ-110кВ ""Мачтовая- Истоминская"", I, II цепи";Мачтовая- Истоминская;
group 14;"ВЛ-6 кВ ""206-07""";206-07;7
group 14;"ВЛ-6кВ ""142-14""";142-14;14
group 14;"ВЛ-6кВ ""192-01""";192-01;1
group 9;ВЛ-6 кВ Ф.1-12;;12
group 9;ВЛ-6 кВ Ф.1-5;;5
group 22;ВЛ-6 ф. 4-16;;16
group 14;"ВЛ-6кВ ""109-16""";109-16;16
group 8;ВЛ-6 кВ ф-1;;1
group 8;ПС Никольская, Толкаевская,  Боголюбовская, Кодяковская, Львовская, Ново-Львовская,  Родинская, Подольская, Токская, Подгорная. ПС ГТЭС Загорская+ ПАЭС-1, Новосергиевская. ПС Родниковская. Родинская, Яшкинская, Подгорная, Подольская;;
group 14;"ВЛ-6 кВ ""209-06""";209-06;6
group 12;ВЛ-110 Мачтовая-Истоминская  I, II цепи;;
group 9;"ПС 110/35/6 кВ ""Григорьевская"",
ВЛ-6 кВ ф.Гр-1";Григорьевская;1
group 9;ВЛ-6 кВ Ф.1-12;;12
group 16;"ВЛ-6 кВ Ф-Н-2 ПС 35/6 кВ ""Южный Неприк""";Южный Неприк;2
group 14;ВЛ-6 кВ 321-16;321;16
group 12; ВЛ-6кВ ф№16 ПС-35/6 кВ К-66 ;;16
group 9;Ф.1-12;;12
group 8;"ПС 6/20кВ ""Сырт-1"",
ВЛ-20 кВ ф.1320";Сырт-1;1320
group 9;Ф.2-18;;18
group 12;ПС-35/6 кВ К-258 ВЛ-6 Ф-5;;5
group 4;В-6-1Т;;
group 22;ВЛ-6 ф.459-06;459;6
group 14;"ВЛ-6 кВ ""211-15""";211-15;15
group 9;Ф.24-13;24;13
group 4;В-35,-6кВ 2Т;;
group 12;ПС-35/6 кВ К-1828 ВЛ-6кВ Ф-8;к-1828;8
group 4;ВЛ-110 Меркурий-Хантос 1,2;;
group 12;ПС-35/6 кВ К-846    ВЛ-6кВ Ф-15;к-846;15
group 12;ВЛ-35кВ Ф№2, Ф№4 ПС-110/35/6кВ Мега;;2
group 4;ВЛ-6кВ ф.2061-14;2061;14
group 8;Ф №1;;1
group 14;"ВЛ-6 кВ ""259-06""";259-06;6
group 17;ВЛ-6 кВ Ну-83 Абинский ЭСУ.;;
group 8; ВЛ 6 кВ  ф-Кушниковка-1;кушниковка;1
group 8;"ПС 35/6 кВ ""ГТЭС Загорская"", ВЛ-6 кВ ф-1406, 1411";ГТЭС Загорская;
group 8;ВЛ-10 кВ ф-Пл-10;пл;10
group 8;"ПС 35/6 кВ ""ГТЭС Загорская"",  ВЛ-6 кВ ф-1406, 1409. ПС ""Яшкинская"" ВЛ-10 кВ ф-6";ГТЭС Загорская;
group 5;Восточное Эхаби, скв. 338;;
group 5;Центральная Оха, скв. 2829;;
group 5;Центральная Оха, скв. 2486;;
group 4;ВЛ-6кВ ф.248-16;248;16
group 17;М-е Зыбза. Скв.917.;;
group 17;1. М-е Чумаковское. ВЛ-6 кВ № Ку-9.  2. М-е Северо-Нефтяное. ВЛ-10 кВ № Ст-2.;;
group 17;ВЛ-0,4 кВ фидер-3 от ТП Ил-521-7п;идер;3
group 10;ГПЭС-2 8х1540, 1х250  ГПГУ-1;;
group 10;ПС 6/35кВ Касаев яч 8;6;
group 10;ПС 35/6 кВ Куст-37 яч.18;35;
group 8;" ПС 110/35/10 кВ ""Ново-Сергиевская""";Ново-Сергиевская;
group 14;"ВЛ-6 кВ ""319-16""";319-16;16
group 12;ПС-35/6 кВ К-203 ВЛ-6 Ф-5;;5
group 5;Эхаби, скв. 221;;
group 18;Ф-423;;423
group 18;Ф-423;;423
group 4;" ВЛ-6 кВ
 ф.УПСВ-1-14";упсв;1
group 11;"Энергокомплекс ООО ""ТЮНГД"" 
ВЛ-6 кВ ф.4";;4
group 18;Ф-144;;144
group 12;ВЛ-6кВ Ф-7 ПС-35/6кВ КНС-31;;7
group 20;"ПС35/6кВ ""Малиновка"" Ф-9 (ПАО""Удмуртэнерго"")";Малиновка;9
group 4;ВЛ-6 кВ       ф.248-16;248;16
group 4;ВЛ-6 кВ ф.313-10;313;10
group 7;"ВЛ-110 кВ ""Варьёган-Бахилы"",            I, II-я цепи";Варьёган-Бахилы;
group 18;Ф-129;;129
group 17;ВЛ-0,4 кВ фидер-3 от ТП Ил-521-7п;идер;3
group 17;"ВЛ-35кВ""Ключевая-ПП-35 Дыш""";Ключевая-ПП-35 Дыш;
group 4; ВЛ-6 кВ ф.355-07;355;7
group 10;ПС 35/6 кВ КНС-2бис ВЛ 6 кВ Ф-9 от ПС 35/6 кВ КНС-2бис;35;9
group 4;ВЛ-6 кВ ф.248-16;248;16
group 8;ПС 35/6 Графская, Ибряевка-1,2.  35/6 Пронькинская, В.Покровка,КНС-3 ;35;
group 8;35/6 Красноярка, КНС-6, Городская, пс Тарханы ,Березовка, Аксютино, КНС-2;;
group 8;Никольская, Толкаевская, Львовская, Боголюбовская, Кодяковская;;
group 8;Фидер-(Бурение -3) ;;
group 8;ф-4;;4
group 8; ф-1;;1
group 8;Весь фонд Ф.Лб-2;лб;2
group 8;Ф-916;;916
group 16;"ВЛ-35 кВ""Петрухновская"" ПС 110/35/10 кВ ""Пестравка""(ЧПО). Под посадку напряжения попали: ПС 35/10 кВ ""Петрухновская"", Т-1-Т ПС 35/10 кВ ""Пиненковская"", Т-2-Т ПС 35/10 кВ ""Маланинская"".";Петрухновская;
group 18;Ф-643;;643
group 12;В-110 Самотлор-Космос 2 цепь;;
group 4; ВЛ-6 ф.248-14;248;14
group 4; ВЛ-6 ф.278-18;278;18
group 4; ВЛ-6 ф.270-18;270;18
group 4;ВЛ 6кВ ф 1001-04;1001;4
group 4;ВЛ-6кВ ф 274-08;274;8
group 14;"ВЛ-6кВ ""105-18""";105-18;18
group 4;"ВЛ-6 кВ 
ф.203-20";203;20
group 4;ВЛ-6 кВ ф.1802-04;1802;4
group 9;1С-6 РУ-6 №1;;
group 4;ВЛ-6кВ 206-08;206;8
group 7;"ВЛ-6кВ Ф-5 ПС 35/6кВ ""К-457""";К-457;5
group 12;ПС-35/6кВ К-203 ВЛ-6кВ Ф-5;к-203;5
group 9;АВ в ТП;АВ в ТП;
group 4;ВЛ-6 ф.206-08;206;8
group 4;ВЛ-6 ф.109-11, ф.109-13;109;11
group 18;Ф-33;;33
group 4; ВЛ-6 кВ ф.206-03;206;3
group 4;ВЛ-6 ф.109-13;109;13
group 18;яч.2 Ф-14;;14
group 18;Ф-129;;129
group 18;Ф-14;;14
group 18;ВТ-61;;
group 8;ВЛ-6 фидера № 603.;;603
group 9;Ф.5-5;;5
group 9;Ф.4-6;;6
group 4;ВЛ-6 кВ ф.141-12;141;12
group 10;ПС 35/6 кВ Куст-78 ВЛ 6 кВ Ф-16 от ПС 35/6 кВ Куст-78;35;16
group 12;ПС-35/6кВ К-1954 ВЛ-6кВ Ф-10;к-1954;10
group 12;ПС-35/6кВ К-209 ВЛ-6кВ Ф-6;к-209;6
group 12;ПС-35/6кВ К-100 ВЛ-6кВ Ф-8;к-100;8
group 12;ПС-35/6кВ К-252 ВЛ-6кВ Ф-7;к-252;7
group 10;ГПЭС-2 8х1540, 1х250  ГПГУ-4;;
group 9;Ф.Б2-2 ;б2;2
group 20;"ПС 110/35/6кВ ""Нефть"" ф.3";Нефть;
group 14;ВЛ-6 кВ 302-03;302;3
group 12;П/СТ 110 КНС-19 ВЛ-35 кВ ф-2;;2
group 12;П/СТ 110 КНС-19 ВЛ-35 кВ ф-1;;1
group 12;ПС-35/6кВ К-223 ВЛ-6кВ Ф-4;к-223;4
group 12;ПС-35/6кВ К-87 ВЛ-6кВ Ф-18;к-87;18
group 7;"ВЛ-110 кВ ""С-Варьёган-Таврическая"",   I, II-я цепи";С-Варьёган-Таврическая;
group 7;"ВЛ-110 кВ ""Варьёган-Бахилы"",            I, II-я цепи";Варьёган-Бахилы;
group 16;"ВЛ-110 кВ ""Коханы-2""(ВПО) ПС 220/110/10 кВ ""Комсомолец"" (МЭС).Под отключение попали: С-1-Т ПС 110/35/6 кВ ""УКПН-2"",С-2-Т ПС 110/35/6 кВ ""Коханы""(ВПО), ПС 35/6 кВ ""Черновская"". Т-2-Т ПС 35/6 кВ""Восточная"", ПС 35/6 кВ ""Кинель-Черкасская"" ПРЦЭиЭ№1).ПС 35/6 кВ ""Ключевская"", ПС 35/6 кВ ""Теребилово"", ПС 35/6 кВ ""Городецк"", ПС 35/6 кВ ""Жуково"" (ПРЦЭиЭ№5).";Коханы-2;
group 9; ф.11-8;11;8
group 5;Центральная Оха, скв. 1091;;
group 18;Ф-94;;94
group 18;Ф-92;;92
group 18;яч.37-Ф69;;69
group 18;Ф-661;;661
group 12;АВ-0,4кВ 630А скв.27141 КТПН-6/0,4кВ №1 630кВА к-569;;
group 12;ПС-35/6кВ К-1221 ВЛ-6кВ Ф№14;к-1221;14
group 18;Ф-655;;655
group 18;Ф-94;;94
group 9;Ф.ЧР-14;чр;14
group 5;Шхунное;Шхунное;
group 9;ф.8-9;;9
group 17;ВЛ-0,4 кВ ф.2 от ТП Ну-82-3.;82;2
group 17;ВЛ-6 Кл-532п.;;
group 8;"110/35/6кВ ""Гаршинская-1""";;
group 8;ф-8;;8
group 8;"скв.№32,154 ф. ""РПЖ-5"". Кратковременное погашение (2 раза по 15 мин.) РП-10кВ ""Жедрино"" на время оперативных переключений";рпж;5
group 9;ДЭС;ДЭС;
group 5;Восточное Эхаби, скв. 471;;
group 5;Центральная Оха, скв. 2277;;
group 9;АВ в ТП;АВ в ТП;
group 7;;;
group 17;ТП-Вс-84-1.;84;1
group 10;ПС 35/6 кВ Куст-120 яч.18;35;
group 8;ф-Поселковый;ф-Поселковый;
group 9;Ф.23-13;23;13
group 12;Вл-6кВ Ф-8 ПС-35/6кВ К-369;;8
group 12;ПС-35/6кВ К-87 1, 2 СШ-6кВ;;
group 5;"ВЛ-35 кВ Т606 ""Москальво""";Москальво;
group 9;Ф.10-13;10;13
group 10;" ПС 220/110/35 кВ ""Комета"",
ВЛ 110 кВ ""Комета-Лысенковская-2""";Комета;
group 5;Набиль;Набиль;
group 8;"КРУН-6 кВ ""Юпитер"", ф-1";;1
group 8;ф-РПЖ-5(СЭС) отпайка (ОН);рпж;5
group 8; Ф- Г-5;г;5
group 8;ПС 35/6 кВ Проскуринская                  ПС 110/35/6 кВ                   Савельевская;35;
group 4;СУ;СУ;
group 9;"ВЛ-35 ЦЛ-8 ""Транзит""";Транзит;
group 4;ВЛ-6кВ ф.252-16;252;16
group 9; Ф.2;;2
group 7;"ВЛ-6кВ Ф-18 ПС 35/6кВ ""К-23""";К-23;18
group 7;"ВЛ-6кВ Ф-4 ПС 35/6кВ ""К-8""";К-8;4
group 17;ВЛ-10 кВ № НП-5;;
group 22;КТПН;КТПН;
group 10;ПС 35/6 кВ Куст-115 ВЛ 6 кВ Ф-3 от ПС 35/6 кВ Куст-115;35;3
group 10;ПС 35/6 кВ Куст-78 С-Ват. ВЛ 6 кВ Ф-15 от ПС 35/6 кВ Куст-78 С-Ват.;35;15
group 10;ПС 35/6 кВ Сапарка ВЛ 6 кВ Ф-12 от ПС 35/6 кВ Сапарка;35;12
group 10;ПС 35/6 кВ Куст-109 ВЛ 6 кВ Ф-10 от ПС 35/6 кВ Куст-109;35;10
group 10;ПС 35/6 кВ КНС-3А ВЛ 6 кВ Ф-3 от ПС 35/6 кВ КНС-3А;35;3
group 10;ПС 35/6 кВ Малочерногорская ВЛ 6 кВ Ф-16 от ПС 35/6 кВ Малочерногорская;35;16
group 8;ВЛ-10 кВ ф-7;;7
group 12;КТПН-6/0,4кВ 250кВА №2 К-604;;
group 12;Т-1 ПС 35/6кВ К-1585;35;
group 12;ПС-35/6 кВ ТБ-1 ВЛ-6 Ф-14;;14
group 9;Ф.Б10-15 ;б10;15
group 9;Ф.1-18;;18
group 9;Ф.О-16;о;16
group 9;Ф.Чр-15 ;чр;15
group 9;Ф.15-12;15;12
group 4;ВЛ-6кВ ф.197-15;197;15
group 4;ВЛ-6кВ ф.106-11;106;11
group 17;ВЛ-0,4кВ от ТП Нф-44-3 ф.1;44;3
group 17;М-е Зыбза, скв.710;;
group 9;ДЭС;ДЭС;
group 8;ф-718;;718
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Сытовка""";Сытовка;2
group 5;Восточное Эхаби, скв. 359;;
group 5;Центральный Сабо, скв. 82;;
group 5;Центральная Оха, ТП-6/0,4кВ № 97;;
group 9;ДЭС;ДЭС;
group 18;ячейка 37 Ф-69;;69
group 16;"Ввод 6 кВ Т-2-Т ПС 35/6 кВ ""Чубовка"". Под отключение попали: Ф-311,Ф-313,Ф-315,Ф-321,Ф-322,Ф-323,Ф-324,Ф-325.";Чубовка;
group 18;Ф-129;;129
group 12;ВЛ-6кВ Ф-5 ПС-35/6 кВ К-525;;5
group 17; ПС-Х-52    Приазовский ЭСУ;;
group 10;ПС 35/6 кВ Куст-1 яч.19;35;
group 8;"ВЛ-110 кВ ""Алексеевская-Герасимовская"", ПС Герасимовская""; ""Варшава-3""";Алексеевская-Герасимовская;
group 16;"ВЛ-110 кВ ""Горбуновская-1""(СПО) ПС 220/110/10 кВ""Серноводская"" (МЭС) Под отключение попали:  С-1-Т ПС 110/35/6 кВ ""Красногородецкая"", С-1-Т  ПС 110/6 кВ ""Горбуновская"",  Т-1-Т ПС 35/6 кВ ""Озеркинская"",  Т-1-Т ПС 35/6 кВ ""Шумалгинская"", Т-1-Т ПС 35/6 кВ ""Смагинская"", Т-1-Т ПС 35/6 кВ ""Славкинская"".";Горбуновская-1;
group 9;АВ в СУ СКН;;
group 9;2С-6 ПС 35/6 кВ №114;35;
group 4;ВЛ-6кВ ф.357-03;357;3
group 7;"ВЛ-6кВ Ф-4 ПС 35/6кВ ""К-131""";К-131;4
group 5;"ПС-35/6 кВ ""2я Площадь"", ""Сахарная Сопка""";2я Площадь;
group 5;ВЛ-35кВ Т-523;;
group 17;М-е Зыбза. Скв. 586. ;;
group 6;скв. 67Р;;
group 20;"ВЛ-110кВ ""РПМостовое-Соколовка"" Левая цепь";РПМостовое-Соколовка;
group 9; Ф.7-3;;3
group 8;Родинская. Яшкинская, Подольская,   Подгорная,       Токская;;
group 8;ВЛ-6 кВ ф-Поселковый;;
group 8;Родинская. Яшкинская, Подольская,   Подгорная,       Токская ПС Никольская, Толкаевская,  Боголюбовская, Кодяковская, Львовская, Ново-Львовская.  ПС Родниковская, Врезовская;;
group 16;"ВЛ-6 кВ Ф-4 ПС 110/6 кВ ""Горбуновская""";Горбуновская;4
group 16;"ВЛ-10 кВ Ф-7 ПС 35/10 кВ ""Петрухновская""";Петрухновская;7
group 17;ТП-541-4.;541;4
group 8;ПС Курманаевская, Новомедведкинская, Шулаевская, Скворцовская. ПС 35/6 Графская,Ибряевка-1,Ибряевка-2,;35;
group 8;Гаршинская-1,2;;
group 8;"Ф№2; Ф№8";;2
group 8;ПС 35/6 Кодяковская, Толкаевская, ПС 35/6  Вахитовская, ПС 35/6 Яшкинская;35;
group 14;"ВЛ-6 кВ ""260-14""";260-14;14
group 16;"ВЛ-35 кВ ""Аманак""ПС 110/35/6 кВ""Сосновка"" (ВПО)Под посадку напряжения попали:ПС 35/6 кВ ""Аманак"",""Кротково-Алешкино"",""Боголюбовка"".";Аманак;
group 5;Центральная Оха, скв. 1156;;
group 18;Л-124;;
group 20;ВС-38-10кВ Ф-9 ПС Малиновка;;9
group 4;ВЛ-110кВ Пыть-Ях- Парус-2;;
group 9;АВ в ТП;АВ в ТП;
group 10;ПС 35/6 кВ Куст-114 яч.18;35;
group 8;"Т2Т;2СШ 6кВ;               Ф-906,907,908,909";;
group 8;"ВЛ-110 кВ ""Пилюгино-Державино""(СЭС) ПС Твердиловская (ЗЭС), Жилинская (ЗЭС)    Ленинградская (ПАО)    ";Пилюгино-Державино;
group 8;Пл-10;;
group 9;К-13 скв.324 Ломовое нмр;;
group 4;  ВЛ-35 Промысловая-1;;
group 16;"ВЛ-6 кВ Ф-2 ПС 110/35/6 кВ  ""Зольное"" (Жиг.ПО)";Зольное;2
group 9;АВ в ТП;АВ в ТП;
group 16;"ВЛ-6 кВ Ф-1  ПС 35/6 кВ ""Сытовка""";Сытовка;1
group 16;"ВЛ-6 кВ Ф-55 ПС 35/6 кВ ""Марьевская""";Марьевская;55
group 16;"ВЛ-6 кВ Ф-5 ПС 110/35/6 кВ ""Зольное""(Жиг.ПО)";Зольное;5
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Шумалгинская""";Шумалгинская;2
group 5;Восточное Эхаби, скв. 524;;
group 20;"ПС 110/35/10кВ ""Игра"" Ф-4 (ОАО ""Удмуртэнерго"")";Игра;4
group 4;  ВЛ-35 Промысловая-1;;
group 8;"ВЛ-110 ""Сорочинская-Росташинская"",                                        ПС Никольская,Кодяковская, Боголюбовская, Загорская.";Сорочинская-Росташинская;
group 8;ф-8;;8
group 8;ПС Краснояровская,  Городская, Ново Кудринская, Западно Степановская, Завьяловская,  Елатомка, Беседино, Тарханы, Березовка, КНС, Заглядинская, Султангуловская, Полевая, Аксютино.  ПС Самодуровская,НПС, ПС Твердиловская (ЗЭС) Ф-8(ПАО);;8
group 16;"ВЛ-220 кВ ""Бугульма-Михайловка"" (Оренбургское ПМЭС)";Бугульма-Михайловка;
group 18;Ф-129;;129
group 4;ВЛ-6кВ ф.2052-18;2052;18
group 4;ВЛ-6кВ ф.1802-04;1802;4
group 4;5АТ;;
group 4; ВЛ-6кВ ф.1802-04;1802;4
group 14;"ВЛ-6кВ ""160-16""                                     ";160-16;16
group 12;ПС-35/6кВ к-34 ВЛ-6кВ Ф-14;к-34;14
group 4;ВЛ-6кВ ф.043-04;043;4
group 9;Оленье нмр, К-23, скв.485        ;;
group 10;"ПС 220/110/35 кВ ""Ленинская"",
ВЛ-110 кВ 
""Ленинская-Лосинка-1""";Ленинская;
group 8;"ВЛ-110 ""Сорочинская-Росташинская"",                                        ПС Никольская, Боголюбовская.";Сорочинская-Росташинская;
group 12;ПС-35/6кВ К-203 ВЛ-6кВ Ф-5 (Ф-8,9,10 на Ф-5 реконструкция).;к-203;5
group 16;"ВЛ-110 кВ ""Муханово-2"" ПС 220/110/6 кВ ""Новоотрадная"".";Муханово-2;
group 9;ДЭС;ДЭС;
group 5;ДЭС Мухто;ДЭС Мухто;
group 9;АВ в СУ СКН;;
group 20;ПС 110/10 кВ Шаркан ф-18 (ПАО Удмуртэнерго);110;18
group 20;ПС Пызеп ф-7 ВЛБ 99-02;99;7
group 4;ВЛ-110 Ленинская-Лосинка-1;;
group 4;ВЛ-6кВ ф.1013-04;1013;4
group 4;ВЛ-6кВ  ф.3183-11;3183;11
group 14;;;
group 7;"ВЛ-35кВ Ф-2,5 ПС 220кВ ""Северный-Варьеган""";Северный-Варьеган;
group 4;ВЛ-6 кВ ф.151-20;151;20
group 7;ВЛ-220 Зима-Вынгапур;;
group 7;ПС 220/110/35 Северный-Варьеган (ВПМЭС) ВЛ-35  Ф.№2, 5 ;220;2
group 22;ВЛ-35 Красноленинская-1;;
group 10;"ПС 35/6 кВ КНС-2бис,
ВЛ-6 кВ Ф-18";35;18
group 8;"ВЛ-10 фидера ""Пл-10"".";Пл-10;
group 8;"ВЛ-10 фидера ""Пл-8"".";Пл-8;
group 14;"ВЛ-110 ""Тарко-Сале-Северный-4""";Тарко-Сале-Северный-4;
group 9;ДЭС;ДЭС;
group 8;"ПС ""Гаршинская-2"";                               ПС ""Гаршинская УПСВ"" ";Гаршинская-2;
group 8;"ВЛ-35 кВ ""Емонтаево-Школьная"", ПС ""Школьная"".";Емонтаево-Школьная;
group 16;"ВЛ-110 кВ ""Горбуновская-2""(СПО) ПС 220/110/10 кВ ""Серноводская"" (МЭС) Под отключение попали: С-2-Т ПС 110/35/6 кВ ""Красногородецкая"", С-2-Т  ПС 110/6 кВ ""Горбуновская"",  Т-2-Т ПС 35/6 кВ ""Озеркинская"",  Т-2-Т ПС 35/6 кВ ""Шумалгинская"", Т-2-Т ПС 35/6 кВ ""Смагинская"", Т-2-Т ПС 35/6 кВ ""Славкинская"".";Горбуновская-2;
group 12;КТПН-6/0,4кВ 250кВА №1 К-875;;
group 5;"ПС-35/6 кВ ""Катангли""";Катангли;
group 5;Восточное Эхаби, скв. 404;;
group 4;ВЛ-6кВ ф.311-06;311;6
group 4;ВЛ-6кВ-6 ф.174-13;174;13
group 9;ЭЦН;ЭЦН;
group 8;"ВЛ-110 ""Новосергиевская"". ПС «ГТЭС Загорская», «Кодяковская», «Боголюбовская».                                     ";Новосергиевская;
group 5;Восточное Эхаби, скв. 281;;
group 20;ВЛ-6 кВ ф-22 ПС 35/6 кВ Нязь;35;22
group 4;ВЛ-6кВ ф.245-11;245;11
group 17;ВЛ-0,4 кВ ф-5 от ТП-ПП-1-1032п.;;5
group 5;"Западное Сабо, фид.№1 ПС-35/6кВ ""З.Сабо""";З.Сабо;
group 8;"ПС ""Промысловая"", ""Пронькино"", ""КНС-3"", ""В. Покровка"". ПС ""Графская"", ""Ибряевска -1, 2"".";Промысловая;
group 8;"ВЛ-110 кВ ""Южжная-Росташинская-1"". ПС ""Росташинская""; ""Гаршинская-1; 2; УПСВ""; ""Зайкинская""; ""Конновская""; ""Давыдовская""";Южжная-Росташинская-1;
group 8;"ВЛ-110 кВ ""Южжная-Росташинская-1"". ПС ""Росташинская""; ""Гаршинская-1; 2; УПСВ""; ""Зайкинская""; ""Конновская""; ""Давыдовская""";Южжная-Росташинская-1;
group 8;ПС 35/6 Тарханы, Березовка, Аксютино;35;
group 8;ф-2;;2
group 9; Ф.11-14;11;14
group 14;"ВЛ-6кВ ""160-16""                                     ";160-16;16
group 5;Катангли, ТП-6/0,4кВ № 305;;
group 7;"ВЛ-6кВ Ф-8 ПС 35/6кВ ""ДНС-2""";ДНС-2;8
group 9;1С-6 ПС 103;103;
group 5;Монги, Мирзоева;Монги, Мирзоева;
group 18;ВТ-32;;
group 9;АВ в ТП;АВ в ТП;
group 8;ПС 35/6 Долговская, СШ-6-1;35;
group 9;Ф.6-7;;7
group 8;ПС 35/6 Родниковская;35;
group 9;Ф.3-7;;7
group 16;"ВЛ-6 кВ Ф-13 ПС 35/6 кВ ""Ключевская""";Ключевская;13
group 22;ВЛ-6 ф.76-16;76;16
group 8;110/35/6 Никольская, Вахитовская, ПС 35/6 Кодяковская, Боголюбовская, ГТЭС-Загорская,;35;
group 14;"ВЛ-6 кВ ""213-03""";213-03;3
group 14;"ВЛ-6 кВ ""213-03""";213-03;3
group 14;ВЛ-6 кВ 302-05;302;5
group 8;"ВЛ-6 фидера ""НСУ-99""";НСУ-99;
group 14;ВЛ-6 кВ 302-05;302;5
group 8;"ВЛ-6 фидера ""НСУ-99""";НСУ-99;
group 8;ВЛ-6 фидера № 418.;;418
group 14;ВЛ-6 кВ 317-09;317;9
group 14;ВЛ-6 кВ 305-14;305;14
group 14;ВЛ-6 кВ 202-18;202;18
group 16;"ВЛ-110 кВ ""Красносамарская"" (ВПО) ПС 220/110/35 кВ ""Кинельская"" (МЭС). Под откл.попали: С-2-Т ПС 110/35/6 кВ ""Нефтегорская-2"" (ВПО) Энергоцех № 2: ВЛ-6 кВ Ф-9,10 (АО ""СНГ""),ПС 35/6 кВ ""Промысловая"",С-2-Т ПС 110/35/6 кВ ""Бариновская"": ПС 35/6 кВ ""КНС"",""Красносамарская"", Т-1-Т  ""Широкинская"",Т-1-Т  ""Коммунарская"", Т-2-Т ""Евгеньевская"",С-2-Т ПС 110/35/10 кВ ""Алексеевка"" (ВПО): ПС 35/6 кВ ""Богатыревская"",С-2-Т ПС 110/35/6 кВ
 ""Нефтегорская-1"" (ВПО): Энергоцех № 2: ВЛ-6 кВ  Ф-1,5,4,13(АО ""СНГ"").";Красносамарская;2
group 20;"ВЛ-110кВ ""Сива-Черновская"" (ОАО ""Удмуртэнерго"")";Сива-Черновская;
group 8;"ВЛ-110 кВ ""Никольская-Родинская"". ПС Родинская, Подольская,   Подгорная, Токская, Львовская, Ново-Львовская.";Никольская-Родинская;
group 16;"ВЛ-35 кВ ""Елховка"" ПС 110/35/10 кВ ""Елховская""(СПО) Под посадку напряжения попал: Т-2-Т ПС 35/6 кВ ""Каменка""";Елховка;
