group;main_unit_off;main_unit_ps;main_unit_fid
group 16;"С-2-Т ПС 110/35/6 кВ ""Мухановская"" Под отключение попали:ПС 35/6кВ""Восточная"",ПС 35/6 кВ ""Чёрновская"",Т-2-Т ПС 35/6 кВ ""Берендеи"",ПС 35/6 кВ ""Шумарка"", ПС 35/6 кВ ""Винно-Банновская"",ПС 35/6 кВ ""Семёновская"",ПС 35/6 кВ ""Кинель-Черкасская"".";Мухановская;
group 7;"ВЛ 110 кВ ""Кирьяновская-ПП Восточный"",
""ПП-Восточный-Ореховская""";Кирьяновская-ПП Восточный;
group 6;"ПС 6/35/110кВ  ""Усть-Тегуская"",
Т-2";Усть-Тегуская;
group 7;"ВЛ-6кВ Ф-8 ПС 35/6кВ ""К-457""";К-457;8
group 7;"ВЛ-6кВ Ф-16 ПС 35/6кВ ""К-457""";К-457;16
group 7;"ВЛ-6кВ Ф-18 ПС 35/6кВ ""К-457""";К-457;18
group 7;"ВЛ-6кВ Ф-5,8,15 ПС 35/6кВ ""К-3""
ВЛ-6кВ Ф-8 ПС 35/6кВ ""К-9""
ВЛ-6кВ Ф-15 ПС 35/6кВ ""К-45""";К-3;
group 7;"ВЛ-6кВ Ф-4 ПС 35/6кВ ""К-32""";К-32;4
group 7;"ВЛ-6кВ Ф-4 ПС 35/6кВ ""К-12""";К-12;4
group 7;"ВЛ-6кВ Ф-18 ПС 35/6кВ ""К-12""";К-12;18
group 7;"ВЛ-6кВ Ф-16 ПС 35/6кВ ""К-65""";К-65;16
group 7;"ВЛ-6кВ Ф-108 ПС 35/6кВ ""Промзона""";Промзона;108
group 7;"ВЛ-6кВ Ф-6, 10 ПС 35/6кВ ""К-20""";К-20;
group 7;"ВЛ-6кВ Ф-6, 10 ПС 35/6кВ ""К-20""";К-20;
group 7;ВЛ-6кВ Ф-4 РУ-3 6кВ КНС-2А;;4
group 7;"ВЛ-6кВ Ф-8 ПС 35/6кВ ""К-203""";К-203;8
group 7;"ВЛ-6кВ Ф-6 ПС 35/6кВ ""К-424""";К-424;6
group 7;"ВЛ-6кВ Ф-9 ПС 35/6кВ ""К-310""";К-310;9
group 7;"ВЛ-6кВ Ф-18 ПС 35/6кВ ""Пермяковская""";Пермяковская;18
group 7;"ВЛ-6кВ Ф-4 ПС 35/6кВ ""Нефть""";Нефть;4
group 7;"ВЛ-6кВ Ф-1 ПС 35/6кВ ""Пражская""";Пражская;1
group 7;"ВЛ-6кВ Ф-4 ПС 35/6кВ ""Северная""";Северная;4
group 7;"ВЛ-6кВ Ф-6 ПС 35/6кВ ""Кошильская""";Кошильская;6
group 7;"ВЛ-6кВ Ф-13 ПС 35/6кВ ""КСП-2""";КСП-2;13
group 7;"ВЛ-6кВ Ф-16 ПС 35/6кВ ""Малочерногорская""";Малочерногорская;16
group 7;"ВЛ-6кВ Ф-8 ПС 35/6кВ ""К-9""";К-9;8
